Time;S1;S2;S3;S4;S5
12:40 - 13:30; \titloco{Lunch}{Keizer Karel Foyer};;;;
13:30 - 14:30; \titloco{Poster Session}{Centrale Hal};;;;
14:30 - 15:30; \titloc{Deep Learning}{Kleine zaal}; \titloc{Language Variation}{Leeuwzaal}; \titloc{Parsing and Grammar}{Soci\"eteitskamer}; \titloc{NLP for historical text}{Annazaal};
14:30; \titaut{Unsupervised dense patient representations with interpretable classification decisions}{Madhumita Sushil, Simon Suster, Kim Luyckx and Walter Daelemans}; \titaut{Fine-grained genre/register recognition: romance fiction in the BNC}{Hans Van Halteren and Nelleke Oostdijk}; \titaut{Lexical Normalization for Neural Network Parsing}{Rob van der Goot and Gertjan Van Noord}; \titaut{Combining grammatical features for dating texts in small-corpus languages}{Camil Staps};
14:50; \titaut{SuperNMT: Integrating Supersense and Supertag Features into Neural Machine Translation}{Eva Vanmassenhove and Andy Way}; \titaut{BasiScript: a 9 million word corpus of texts written in primary school}{Agnes Tellings, Nelleke Oostdijk, Iris Monster, Franc Grootjen and Antal van den Bosch}; \titaut{Memory Based Modelling of Dutch Past Tense Regularity}{Christoph Aurnhammer}; \titaut{Nederlab: Progress and challenges in linguistic enrichment of historical Dutch Texts}{Katrien Depuydt, Maarten Van Gompel, Hennie Brugman, Jesse de Does and Gosse Bouma};
15:10; \titaut{Towards multilingual sequence labelling using cross-lingual word embeddings}{Chao Li, Carsten van Weelden, Luigi Lorato, Carsten L. Hansen, Mihai Rotaru and Jakub Zavrel}; \titaut{Reducing perplexities and word error rates by improving the interpolation factors of a Bayesian skipgram language model}{Louis Onrust, Hugo Van hamme and Antal van Den Bosch}; \titaut{TM-MT: the SCATE sliders}{Tom Vanallemeersch}; \titaut{Good lynx, bad lynx: document enrichment for historical ecologists}{Marieke van Erp, Jesse De Does, Thomas van Goethem and Katrien Depuydt};
15:30 - 15:55; \titloc{Coffee and beverages}{Keizer Karel Foyer};;;;
15:55 - 17:15; \titloc{Social media and winner STIL Thesis Prize}{Kleine zaal}; \titloc{Authorship and Discourse}{Leeuwzaal}; \titloc{Named Entity Recognition and Term Extraction}{Soci\"eteitskamer}; \titloc{Translation}{Annazaal};
15:55; \titaut{TBA}{Winner STIL Thesis Prize}; \titaut{Patterns of rhetorical structure in student's writing in different text genres}{Rianne Conijn, Simon Knight, Roberto Martinez and Menno van Zaanen}; \titaut{Improving named entity resolution for English to Chinese neural machine translation}{Camiel Colruyt}; \titaut{Post-editing a Novel with Neural Machine Translation}{Antonio Toral};
16:15; \titaut{Comparing and Integrating Machine Learning and Rule Based Microtext Classification}{Ali Hürriyetoğlu, Nelleke Oostdijk and Antal van Den Bosch}; \titaut{What can we learn from behavioral biometric data?}{Barbara Plank}; \titaut{Geo-temporal named entity recognition in multilingual picture collections}{Hans Paulussen and Dirk De Hertog}; \titaut{145 ways to insert punctuation for speech translation}{Vincent Vandeghinste, Lyan Verwimp, Joris Pelemans and Patrick Wambacq};
16:35; \titaut{Transfer Learning on Cyberbullying Classification}{Long Tran}; \titaut{Microportrait detection for identifying stereotypes in Dutch News}{Antske Fokkens, Ruigrok Nel, Sarah Gagenstein, Wouter Van Atteveldt and Beukeboom Camiel}; \titaut{Global Space: A Reconstructive Model of Word Reading}{Stéphan Tulkens, Dominiek Sandra and Walter Daelemans}; \titaut{Elastic-substitution decoding for Hierarchical SMT: efficiency, richer search and double labels}{Gideon Maillette de Buy Wenniger, Khalil Sima'An and Andy Way};
16:55; \titaut{Relevant Information Detection on Twitter}{Ali Hürriyetoğlu, Nelleke Oostdijk, Antal van Den Bosch and Mustafa Erkan Basar}; \titaut{Discourse lexicons for multiple languages and their use for gender profiling}{Ben Verhoeven and Walter Daelemans}; \titaut{Sequential Labelling with Active Learning to Extract Information about Disasters}{M. Erkan Basar}; \titaut{To Wikify of to Babelfy for Implicit Translation Evaluation?}{Iris Hendrickx, Maarten van Gompel and Antal van Den Bosch};
17:15 - 18:15; \titloc{Drinks}{Keizer Karel Foyer};;;;
